ISO3,Name,2020
xxx,North America,902887
xxx,Europe,732483
xxx,Asia,237413
xxx,South America,101020
xxx,Oceania,1186
xxx,Africa,23987
xxx,World,1999037
USA,USA,855679
ESP,Spain,77112
ITA,Italy,104657
FRA,France,94105
GBR,UK,138780
DEU,Germany,31585
TUR,Turkey,70468
RUS,Russia,93806
IRN,Iran,13509
BRA,Brazil,40040
CAN,Canada,28274
BEL,Belgium,29349
NLD,Netherlands,34271
PER,Peru,22951
IND,India,24094
CHE,Switzerland,4749
PRT,Portugal,22537
ECU,Ecuador,22235
SAU,Saudi Arabia,19428
SWE,Sweden,17501
IRL,Ireland,5677
MEX,Mexico,4644
SGP,Singapore,14967
PAK,Pakistan,11654
ISR,Israel,7239
AUT,Austria,1961
CHL,Chile,6862
BLR,Belarus,11552
JPN,Japan,11172
QAT,Qatar,12027
POL,Poland,8917
ARE,UAE,9947
ROU,Romania,7528
KOR,S. Korea,1459
UKR,Ukraine,8907
IDN,Indonesia,7804
DNK,Denmark,2160
SRB,Serbia,7487
PHL,Philippines,6877
NOR,Norway,7471
BGD,Bangladesh,7339
CZE,Czechia,4234
AUS,Australia,947
DOM,Dominican Republic,5131
PAN,Panama,5673
COL,Colombia,4522
MYS,Malaysia,1729
ZAF,South Africa,3174
EGY,Egypt,3553
FIN,Finland,1784
MAR,Morocco,3222
ARG,Argentina,2879
KWT,Kuwait,2459
DZA,Algeria,1702
MDA,Moldova,2473
LUX,Luxembourg,546
KAZ,Kazakhstan,2512
BHR,Bahrain,1534
THA,Thailand,216
HUN,Hungary,1882
GRC,Greece,1860
OMN,Oman,1842
AFG,Afghanistan,1847
HRV,Croatia,659
GHA,Ghana,1845
ARM,Armenia,1105
UZB,Uzbekistan,905
IRQ,Iraq,565
CMR,Cameroon,837
ISL,Iceland,131
AZE,Azerbaijan,476
BIH,Bosnia and Herzegovina,961
NGA,Nigeria,1370
EST,Estonia,1388
BGR,Bulgaria,1157
NZL,New Zealand,216
CUB,Cuba,792
MKD,North Macedonia,650
SVN,Slovenia,1105
SVK,Slovakia,849
LTU,Lithuania,751
GIN,Guinea,1031
CIV,Ivory Coast,667
BOL,Bolivia,934
DJI,Djibouti,476
HKG,Hong Kong,188
TUN,Tunisia,646
SEN,Senegal,590
LVA,Latvia,495
CYP,Cyprus,680
ALB,Albania,272
HND,Honduras,621
KGZ,Kyrgyzstan,276
AND,Andorra,278
LBN,Lebanon,551
NER,Niger,246
CRI,Costa Rica,384
xxx,Diamond Princess,54
LKA,Sri Lanka,507
BFA,Burkina Faso,100
URY,Uruguay,203
GTM,Guatemala,504
SOM,Somalia,534
SMR,San Marino,450
GEO,Georgia,355
MYT,Mayotte,300
xxx,Channel Islands,113
COD,DRC,404
MLI,Mali,328
TZA,Tanzania,297
MLT,Malta,110
JOR,Jordan,87
TWN,Taiwan,101
REU,Réunion,120
KEN,Kenya,235
JAM,Jamaica,360
SLV,El Salvador,268
SDN,Sudan,315
PSE,Palestine,271
MUS,Mauritius,16
VEN,Venezuela,179
MNE,Montenegro,109
GNQ,Equatorial Guinea,305
IMN,Isle of Man,34
MDV,Maldives,283
GAB,Gabon,206
VNM,Vietnam,51
PRY,Paraguay,129
RWA,Rwanda,127
COG,Congo,192
GNB,Guinea-Bissau,185
FRO,Faeroe Islands,3
MTQ,Martinique,81
GLP,Guadeloupe,44
MMR,Myanmar,117
LBR,Liberia,80
GIB,Gibraltar,10
BRN,Brunei ,13
ETH,Ethiopia,69
MDG,Madagascar,36
GUF,French Guiana,31
SLE,Sierra Leone,96
KHM,Cambodia,3
TTO,Trinidad and Tobago,36
CPV,Cabo Verde,110
BMU,Bermuda,57
TGO,Togo,38
ABW,Aruba,25
ZMB,Zambia,40
MCO,Monaco,33
SWZ,Eswatini,80
LIE,Liechtenstein,26
UGA,Uganda,29
BHS,Bahamas,44
BRB,Barbados,34
GUY,Guyana,52
HTI,Haiti,61
MOZ,Mozambique,64
SXM,Sint Maarten,29
CYM,Cayman Islands,62
BEN,Benin,30
LBY,Libya,41
PYF,French Polynesia,8
NPL,Nepal,41
TCD,Chad,31
CAF,CAR,40
MAC,Macao,10
SYR,Syria,19
ZWE,Zimbabwe,31
ERI,Eritrea,20
xxx,Saint Martin,11
MNG,Mongolia,28
MWI,Malawi,26
SSD,South Sudan,35
AGO,Angola,18
ATG,Antigua and Barbuda,10
TLS,Timor-Leste,8
BWA,Botswana,17
GRD,Grenada,7
LAO,Laos,11
BLZ,Belize,7
FJI,Fiji,6
NCL,New Caledonia,1
LCA,Saint Lucia,2
CUW,Curaçao,2
DMA,Dominica,3
NAM,Namibia,8
xxx,St. Vincent Grenadines,8
xxx,Saint Kitts and Nevis,9
